page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
70,K-1.1,K,schedule_sheet,0.7,818,False,False,,,0,0,0,,,,,,False,0
71,K-1.2,K,schedule_sheet,0.7,1157,False,False,,,0,0,0,,,,,,False,3
72,K-1.3,K,detail_sheet,0.7,1334,False,False,,,0,0,0,,,,,,False,0
73,K-1.4,K,schedule_sheet,0.7,307,False,False,,,0,0,0,,,,,,False,0
74,S-0.0H,S,section,0.7,5819,False,False,,,0,0,0,,,,,,False,0
75,S-0.1H,S,elevation,0.7,1661,False,False,,,0,0,0,,,,,,False,0
76,S-4.1H,S,elevation,0.7,1393,False,False,,,0,0,0,,,,,,False,0
77,,,elevation,0.7,1186,False,False,,,0,0,0,,,,,,False,0
78,,,elevation,0.7,1011,False,False,,,0,0,0,,,,,,False,0
79,S-5.2H,S,framing_plan,0.9,1738,False,False,,,0,0,0,,,,,,False,0
80,S-5.4H,S,framing_plan,0.9,1188,False,False,,,0,0,0,,,,,,False,0
81,,,framing_plan,0.9,1483,False,False,,,0,0,0,,,,,,False,0
82,,,framing_plan,0.9,1319,False,False,,,0,0,0,,,,,,False,0
83,,,framing_plan,0.9,883,False,False,,,0,0,0,,,,,,False,0
84,,,framing_plan,0.9,1146,False,False,,,0,0,0,,,,,,False,0
85,S-3.1H,S,detail_sheet,0.9,1046,False,False,,,0,0,0,,,,,,False,0
86,S-3.2H,S,detail_sheet,0.9,1014,False,False,,,0,0,0,,,,,,False,0
87,S-3.3H,S,elevation,0.9,1155,False,False,,,0,0,0,,,,,,False,1
88,S-3.4H,S,detail_sheet,0.9,1699,False,True,,07 52;07 84,0,0,0,,,,,,True,0
89,S-3.5H,S,detail_sheet,0.7,569,False,False,,,0,0,0,,,,,,False,0
90,,,section,0.7,903,False,False,,,0,0,0,,,,,,False,0
91,S-4.2H,S,section,0.7,694,False,False,,,0,0,0,,,,,,False,0
92,S-5.1H,S,schedule_sheet,0.9,969,False,False,,,0,0,0,,,,,,False,0
93,,,section,0.7,870,False,False,,,0,0,0,,,,,,False,0
94,S-5.3H,S,elevation,0.9,927,False,True,metal_panel,,0,0,0,,,,,,False,0
95,,,detail_sheet,0.9,851,False,True,metal_panel,,0,0,0,,,,,,False,0
