page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
71,,,elevation,0.9,893,False,False,,,0,0,0,,,,,,False,0
72,,,elevation,0.9,933,False,False,,,0,0,0,,,,,,False,0
73,,,elevation,0.9,322,False,False,,,0,0,0,,,,,,False,0
74,,,detail_sheet,0.9,795,False,False,,,0,0,0,,,,,,False,0
75,,,detail_sheet,0.9,1426,False,False,,,0,0,0,,,,,,False,0
76,,,detail_sheet,0.9,1356,False,False,,,0,0,0,,,,,,False,0
77,,,detail_sheet,0.9,766,False,False,,,0,0,0,,,,,,False,0
78,,,detail_sheet,0.9,1636,False,False,,,0,0,0,,,,,,False,0
79,,,detail_sheet,0.9,945,False,False,,,0,0,0,,,,,,False,0
80,,,floor_plan,0.7,5355,False,True,pvc,,0,0,0,,,,,NRCA;SMACNA,False,0
81,,,detail_sheet,0.9,1043,False,False,,,0,0,0,,,,,,False,0
82,,,unknown,0.0,324,False,False,,,0,0,0,,,,,,False,0
83,,,floor_plan,0.7,2345,False,False,,,0,0,0,,,,,,False,1
84,,,schedule_sheet,0.9,5032,False,True,pvc,,0,0,0,,,,,SMACNA,False,0
85,,,floor_plan,0.9,1181,False,False,,,0,0,0,,,,,,False,1
86,,,floor_plan,0.9,3548,False,True,pvc,,0,0,0,,,,,,False,0
87,,,floor_plan,0.7,563,False,False,,,0,0,0,,,,,,False,0
88,,,floor_plan,0.9,492,False,False,,,0,0,0,,,,,,False,0
89,,,floor_plan,0.9,451,False,False,,,0,0,0,,,,,,False,0
90,,,schedule_sheet,0.9,1491,False,False,,,0,0,0,,,,,,False,4
